,factscore,rev-factscore,r1,r2,rl,rlsum,n_facts
atwt-05-15-06,0.30952380952380953,0.5192307692307693,39.70037453183521,9.022556390977442,18.352059925093638,38.57677902621723,84.0
atwt-01-10-06,0.3333333333333333,0.4375,46.23115577889447,7.731092436974792,17.085427135678394,44.22110552763819,63.0
oltl-01-06-12,0.3972602739726027,0.5,39.52569169960474,7.936507936507938,18.181818181818183,37.94466403162055,73.0
bb-05-04-06,0.4626865671641791,0.6304347826086957,50.082372322899495,15.537190082644628,22.40527182866557,48.105436573311366,67.0
bb-01-02-07,0.4189189189189189,0.5081967213114754,56.888888888888886,15.156017830609212,22.22222222222222,54.81481481481482,74.0
atwt-05-14-03,0.25,0.24390243902439024,40.704500978473575,12.573673870333991,21.52641878669276,38.35616438356165,64.0
oltl-03-02-10,0.47368421052631576,0.391304347826087,30.830039525691706,4.365079365079365,16.205533596837945,29.64426877470356,57.0
gl-03-02-05,0.4,0.4186046511627907,48.666666666666664,11.804008908685969,18.666666666666668,47.99999999999999,70.0
atwt-08-23-06,0.46551724137931033,0.27710843373493976,43.91143911439114,9.629629629629628,18.45018450184502,42.066420664206646,58.0
bb-05-19-06,0.59375,0.5344827586206896,57.3551263001486,16.691505216095383,23.179791976225854,55.27488855869242,64.0
atwt-09-11-06,0.4117647058823529,0.5238095238095238,48.39596700274977,13.406795224977044,17.415215398716775,47.84601283226398,68.0
oltl-02-12-09,0.25396825396825395,0.17142857142857143,45.70312500000001,12.156862745098037,19.53125,43.74999999999999,63.0
oltl-09-03-09,0.3582089552238806,0.5306122448979592,49.514563106796125,13.311688311688313,17.475728155339805,45.63106796116505,67.0
bb-01-02-15,0.68,0.6313559322033898,46.89265536723164,11.931818181818182,22.033898305084747,44.067796610169495,50.0
bb-01-16-07,0.5769230769230769,0.6333333333333333,52.22551928783383,13.731343283582087,24.33234421364985,49.85163204747774,26.0
gl-08-19-05,0.6486486486486487,0.6666666666666666,49.52380952380952,12.089077412513253,20.31746031746032,47.61904761904761,74.0
atwt-01-11-07,0.3472222222222222,0.5,41.44486692015209,9.160305343511451,18.250950570342205,38.78326996197719,72.0
gl-02-09-05,0.2857142857142857,0.5714285714285714,42.10526315789473,5.5900621118012435,17.64705882352941,39.628482972136226,56.0
pc-04-04-03,0.421875,0.5964912280701754,46.35332252836305,8.45528455284553,17.179902755267424,45.38087520259319,64.0
oltl-08-19-09,0.39655172413793105,0.4406779661016949,50.0772797527048,12.4031007751938,17.31066460587326,47.913446676970636,58.0
atwt-01-21-03,0.4444444444444444,0.35051546391752575,45.6953642384106,11.960132890365449,19.536423841059605,44.03973509933774,72.0
oltl-02-04-10,0.46,0.625,35.98484848484848,5.703422053231939,14.393939393939394,33.333333333333336,50.0
bb-05-10-17,0.5740740740740741,0.5913978494623656,40.79207920792079,11.133200795228628,21.386138613861387,39.603960396039604,54.0
oltl-01-26-10,0.4605263157894737,0.5294117647058824,38.70967741935484,6.477732793522267,16.129032258064516,37.096774193548384,76.0
oltl-01-06-10,0.41975308641975306,0.425531914893617,34.62246777163904,7.393715341959334,17.31123388581952,32.41252302025782,81.0
atwt-03-06-06,0.6440677966101694,0.6578947368421053,42.22222222222222,9.66542750929368,18.88888888888889,40.0,59.0
bb-01-29-07,0.4918032786885246,0.4473684210526316,41.42259414225941,15.546218487394958,20.0836820083682,40.1673640167364,61.0
oltl-08-10-09,0.4520547945205479,0.5555555555555556,39.06249999999999,10.980392156862743,17.187500000000004,36.71875,73.0
oltl-02-24-09,0.34782608695652173,0.40476190476190477,49.74446337308347,11.282051282051283,22.487223168654175,47.700170357751276,69.0
pc-01-31-03,0.5,0.5434782608695652,41.13475177304964,8.185053380782916,17.730496453900706,40.78014184397163,66.0
oltl-02-23-07,0.3770491803278688,0.35,50.74626865671641,11.700680272108844,22.25237449118046,49.11804613297151,61.0
oltl-02-12-10,0.45,0.782608695652174,42.61036468330134,11.560693641618498,19.57773512476008,39.53934740882917,60.0
gl-02-28-05,0.6296296296296297,0.43137254901960786,48.096885813148795,12.152777777777777,21.79930795847751,46.36678200692042,54.0
atwt-02-16-07,0.2698412698412698,0.5862068965517241,44.55445544554456,10.927152317880793,17.491749174917494,42.90429042904291,63.0
pc-02-03-03,0.5,0.5,43.89489953632148,9.30232558139535,17.928902627511594,42.96754250386399,58.0
bb-01-19-15,0.453125,0.3728813559322034,47.90419161676647,13.399999999999999,17.764471057884233,47.30538922155688,64.0
bb-04-26-17,0.5,0.5285714285714286,47.61904761904761,12.779552715654951,22.857142857142858,43.8095238095238,36.0
oltl-11-10-08,0.38666666666666666,0.5625,39.38814531548756,8.445297504798463,19.50286806883365,37.858508604206506,75.0
bb-05-11-17,0.5,0.6966292134831461,46.951219512195124,11.042944785276074,20.73170731707317,45.12195121951219,30.0
bb-01-12-16,0.41935483870967744,0.38738738738738737,32.30974632843792,11.780455153949129,17.356475300400533,31.775700934579444,31.0
gl-02-11-05,0.3389830508474576,0.36,41.28787878787878,9.125475285171103,18.181818181818183,41.28787878787878,59.0
oltl-08-24-09,0.45588235294117646,0.6388888888888888,49.74271012006861,11.7039586919105,19.210977701543737,45.62607204116638,68.0
atwt-09-19-06,0.3448275862068966,0.5714285714285714,50.92592592592593,12.693498452012383,18.82716049382716,49.691358024691354,58.0
pc-05-13-03,0.4444444444444444,0.3770491803278688,41.96277495769881,7.809847198641766,16.58206429780034,41.285956006768195,63.0
gl-01-12-05,0.5737704918032787,0.5454545454545454,44.15584415584416,10.42830540037244,20.77922077922078,40.44526901669759,61.0
gl-02-16-05,0.37142857142857144,0.46875,33.333333333333336,4.545454545454545,16.38418079096045,31.07344632768362,35.0
atwt-09-09-10,0.5466666666666666,0.49612403100775193,50.588235294117645,16.895874263261295,20.784313725490193,49.80392156862745,75.0
pc-05-29-03,0.3333333333333333,0.4423076923076923,41.970021413276235,14.623655913978496,20.556745182012847,40.25695931477516,27.0
oltl-02-23-09,0.3108108108108108,0.4074074074074074,38.0952380952381,10.81081081081081,17.391304347826086,36.024844720496894,74.0
oltl-06-19-07,0.2465753424657534,0.44594594594594594,48.985959438377535,15.023474178403756,22.464898595943836,48.3619344773791,73.0
